recipe_id,recipe_number,recipe_name,age_min_months,age_max_months,energy_kcal,protein_g,iron_mg,retinol_ug,zinc_mg,preparation,nutrition_message,source_page
REC_0001,1,Purecito verde,6,8,221,7.7,0.7,32.7,0.8,"1. Sancochar las habas y la papa. Guardar el caldo. 2. Aplastar con la ayuda de un tenedor la papa y las habas sancochadas y previamente pasadas por un colador. Agregar la leche, el aceite y el caldo. 3. Mezclar bien la preparacion hasta obtener una consistencia espesa y servir.","La leche es una fuente rica en proteinas, ayuda al crecimiento del niño",10-11
REC_0002,2,Zapallito feliz,6,8,153,3.3,0.6,114.9,0.5,"1. Sancochar el zapallo y la papa. Guardar el caldo. 2. Aplastar con la ayuda de un tenedor la papa sancochada, el zapallo y agregar la leche, el aceite y el caldo. 3. Mezclar bien hasta obetener una consistencia espesa.","El zapallo es una fuente rica en Vitamina A, y ayuda a prevenir enfermedades respiratorias y digestivas",12-13
REC_0003,3,Purecito moreno,6,8,189,11.9,5.0,3457.6,2.0,"1. Sancochar la papa amarilla y el higado de pollo y guardar el caldo. 2. Aplastar con ayuda de un tenedor la papa amarilla sancochada, el higado, agregar el aceite y el caldo. 3. Mezclar bien hasta obtener una consistencia espesa.",El higado es rico en hierro que te ayudara a prevenir la anemia en tu niño,14-15
REC_0004,4,Mazamorra primaveral,6,8,188,5.2,0.3,45.2,0.8,"1. Aplastar el camote sancochado con ayuda de un tenedor. 2. Agregar la leche, el aceite y el agua. 3. Mezclar bien hasta que tenga una consistencia espesa.","La leche es una fuente rica en proteinas, muy importante para el crecimiento de tu niño",16-17
REC_0005,5,Flan de zapallo,6,8,123,2.2,0.5,135.0,0.3,"1. Lavar, pelar y rallar el zapallo. 2. Cocinar el zapallo con un 1/8 de taza de agua, la canela y el clavo de olor. 3. Agregar la maicena disuelta en la leche y el azucar. 4. Dar vueltas hasta que tenga una consistencia espesa, agregar el aceite y servir.","Consumir diariamente verduras de color verde, amarillo o naranja, porque son fuentes de vitamina A",18-19
REC_0006,6,Suavecito de higado,6,8,93,4.4,1.5,1065.0,0.7,"1. Sancochar la zanahoria. Guardar el caldo. 2. Aplastar con la ayuda de un tenedor el higado, la papa y la zanahoria. Agregar la leche, el aceite y el caldo. 3. Mezclar bien hasta que la preparacion tenga una consistencia espesa.","Iniciar la alimentacion complementaria con preparaciones tipo papillas, mazamorras y pures",20-21
REC_0007,7,Mazamorra de zanahoria,6,8,75,1.7,0.0,126.0,0.2,"1. Lavar, pelar, rallar y/o licuar la zanahoria con las ocho cucharadas de agua. 2. Hervir el licuado anterior con la canela y el clavo de olor. 3. Disolver la maicena con la leche evaporada y agregar a la preparacion anterior. 4. Dar vueltas hasta que cocine y tome una consistencia espesa. Al retirar agregar el aceite y servir.","Alimentar despacio y con paciencia, y animar a los niños a comer pero sin forzarlos",22-23
REC_0008,8,Mazamorra peruanita,6,8,90,2.6,0.3,16.0,0.5,1. Hervir el agua con la canela y el clavo de olor. 2. Agregar la harina de siete semillas en la leche. 3. Dar vueltas hasta que tome una consistencia espesa. 4. Adicionar el aceite y servir.,La harina de siete semillas proporciona energia al niño,24-25
REC_0009,9,Purecito de arveja con higado,6,8,77,4.8,1.7,1602.0,0.6,"1. Sancochar el higado de pollo y la zanahoria. Guardar el caldo. 2. Aplastar con ayuda de un tenedor el higado de pollo sancochado y la zanahoria sancochada. 3. Disolver la harina de arveja con el caldo y cocinar a fuego lento dando vueltas hasta que hierva. 4. Agregar la zanahoria, el higado, la leche, el aceite y el caldo. 5. Mezclar bien hasta que tenga una consistencia espesa.",Suplementar con micronutrientes en polvo o en jarabe,26-27
REC_0010,10,Pure brillante,6,8,95,2.6,0.8,376.0,0.5,1. Sancochar la papa amarilla y pelar. Sancochar la zanahoria sin cascara. Guardar el caldo. 2. Sancochar el huevo de gallina y separar la yema. 3. Aplastar con ayuda de un tenedor la papa y la zanahoria sancochada. Agregar la yema del huevo. 4. Agregar el aceite y el caldo. 5. Mezclar bien hasta tener una consistencia espesa.,"Alimentar despacio y con paciencia, y animar a los niños a comer, pero sin forzarlos",28-29
REC_0011,11,Higado primaveral,9,11,241,11.3,5.1,3698.5,1.9,"1. Hacer un aderezo con el aceite, la cebolla, y una pizca de sal. 2. Agregar la papa amarilla y la zanahoria en cuadraditos. Agregar el agua y dejar que cocine. 3. Añadir el higado cortado en cuadraditos. 4. Al final agregar una rama de hierbabuena. 5. Mezclar con arroz graneado y servir.",El higado es un alimento rico en hierro y ayuda a prevenir la anemia en tu niño,34-35
REC_0012,12,Ajiaco a la jardinera,9,11,274,14.3,5.4,3213.5,2.0,"1. Hacer un aderezo con el aceite, los ajos, la cebolla y una pizca de sal. 2. Agregar la papa amarilla picada en cuadraditos, las habas previamente peladas. Agregar el agua y dejar que cocine. Luego agregue el higado. 3. Verificar que ya esta cocido, y agregar la leche y el queso en cuadraditos. 4. Servir con arroz graneado (opcional).",A partir de los nueve meses los niños deben consumir los alimentos picaditos,36-37
REC_0013,13,Zapallito con chispas,9,11,211,11.5,2.1,677.0,1.3,"1. Hacer un aderezo con el aceite, los ajos, la cebolla y una pizca de sal. 2. Agregar las habas previamente peladas. Luego agregar el agua y dejar que hierva por 10 minutos. 3. Agregar la papa amarilla y el zapallo picados en cuadraditos, y dejar que cocine. 4. Verificar que ya esta cocido, agregar la leche evaporada y mezclar. Servir con arroz graneado.",Entre los 7 y 8 meses se aumentara a tres comidas diarias y lactancia materna frecuente,38-39
REC_0014,14,Fideos a la morenada,9,11,252,13.3,6.7,3590.1,2.2,"1. Tostar los fideos. 2. Hacer un aderezo con el aceite, la cebolla, y el tomate picado en cuadraditos y agregar una pizca de sal yodada. 3. Añadir el agua al aderezo. 4. Agregar los fideos y el higado picados en cuadraditos, dejar que cocine unos 10 minutos. Servir.",Los niños aceptan mejor los alimentos cuando comen con su famila,40-41
REC_0015,15,Espesito de higado,9,11,189,11.5,5.0,3390.8,2.0,"1. Hacer hervir el agua. 2. Agregar al agua hirviendo el arroz, la papa picada en cuadraditos, y una pizca de sal. 3. Cuando el arroz este sancochado, agregar el higado en trocitos y la espinaca picada. Dejar que cocine unos minutos. 4. Cuando todo este cocido, añadir el aceite. 5. Servir.","Incluye alimentos de origen animal, como el higado, todos los dias en la alimentacion de tu niño",42-43
REC_0016,16,Tallarincitos rojos,9,11,157,10.4,16.1,493.0,0.3,"1. Sancochar los fideos con una pizca de sal yodada. 2. Sancochar la sangrecita picada en cuadraditos con una pizca de sal. Guardar el caldo. 3. En una olla freir la zanahoria rallada, el tomate rallado y el aceite. Agregar el caldo, la hoja de laurel y la sangrecita. Hervir hasta cocinar los alimentos. 4. Mezclar los fideos sancochados con el aderezo anterior y retirar la hoja de laurel.","La sangrecita es un alimento rico en hierro, importante para prevenir la anemia",44-45
REC_0017,17,Aji de pescado,9,11,188,9.4,0.4,715.5,1.3,"1. Sancochar el pescado con una pizca de sal yodada, retirar las espinas y desmenuzar. Guardar el caldo. 2. Licuar la zanahoria, el pan, la leche y el caldo. 3. En una olla freir en el aceite, la cebolla picada en cuadraditos, agregar el licuado, el pescado desmenuzado y una pizca de sal. 4. Dar vueltas hasta que tenga una consistencia espesa. 5. Servir el aji de pescado acompañado de la papa sancochada picada en cuadraditos.",No olvides dar a tu niño un sobre de micronutrientes diariamente,46-47
REC_0018,18,Rayitos de sol,9,11,173,5.5,2.6,183.9,1.1,"1. Sancochar los fideos. 2. Sancochar un huevo de gallina y separar la yema. 3. Aplastar con ayuda de un tenedor el zapallo sancochado y la yema de huevo sancochado. Agregar la leche, el aceite y el caldo. 4. Mezclar bien con los fideos hasta que tenga una consistencia espesa.","Debemos lavarnos las manos despues de ir al baño, antes de comer los alimentos y antes de prepararlos",48-49
REC_0019,19,Sudadito de pescado,9,11,144,11.4,0.7,5.0,0.3,"1. Freir en aceite la cebolla picada y el tomate pelado y picado en cuadraditos. 2. Agregar el pescado, el agua y una pizca de sal yodada. 3. Retirar el pescado de la preparacion, desmenuzar y quitar las espinas. 4. Mezclar el pescado desmenuzado con el aderezo. 5. Servir el sudado acompañado con el arroz graneado.","El pescado es una fuente rica en proteinas, muy importante para el crecimiento",50-51
REC_0020,20,Sangrecita a la italiana,9,11,201,7.4,9.4,151,0.5,"1. Sancochar la sangrecita picada en cuadraditos con una pizca de sal y una hoja de hierba buena. Guardar el caldo y retirar la hoja. 2. Aparte, sancochar la zanahoria y la papa, ambas picadas en cuadraditos y la arveja sin cascara. 3. Preparar el aderezo con la cebolla picada en cuadraditos y el aceite, agregar el caldo, la papa, la zanahoria y las arvejas sancochadas. 4. Luego que hierva agregar la sangrecita y el pimiento picado en cuadraditos, mezclar y servir.","Preocuparse que los alimentos sean nutritivos, de buen sabor y agradables a la vista",52-53
